last_name,first_name,player_id,year,b_total_pa,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,slg_percent,on_base_percent,on_base_plus_slg,b_catcher_interf,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,
Inciarte,Ender,542255,2021,89,13,2,0,2,22,7,.316,.270,.586,0,0,9,25,4,5,
Ozuna,Marcell,542303,2021,208,27,6,0,7,46,19,.356,.288,.645,0,1,34,44,13,10,
Villar,Jonathan,542340,2021,505,75,18,2,18,132,46,.416,.321,.737,0,3,54,120,19,18,
Ortega,Rafael,542364,2021,330,59,14,2,11,70,30,.463,.358,.820,0,2,51,53,18,20,
Santana,Danny,542454,2021,127,13,2,1,5,30,10,.345,.252,.597,0,1,24,28,6,7,
Aguilar,Jesus,542583,2021,510,72,23,0,22,93,46,.459,.325,.784,5,3,88,92,34,30,
Berti,Jon,542932,2021,271,34,10,1,4,61,32,.313,.310,.623,0,3,17,85,17,6,
Crawford,Brandon,543063,2021,549,87,30,3,24,105,56,.522,.373,.895,0,5,72,109,27,30,
Cron,C.J.,543068,2021,547,72,31,1,28,117,60,.530,.375,.905,0,13,74,101,23,27,
DeSclafani,Anthony,543101,2021,62,1,1,0,0,33,4,.059,.097,.156,0,0,1,17,2,3,
Dickerson,Alex,543105,2021,312,41,10,2,13,76,23,.420,.304,.725,0,6,38,66,14,22,
Gomes,Yan,543228,2021,375,58,15,1,14,78,19,.421,.301,.723,0,6,50,84,30,20,
Grossman,Robbie,543257,2021,671,84,23,3,23,155,98,.415,.356,.771,0,8,113,93,39,29,
Harrison,Josh,543281,2021,558,98,33,2,8,75,31,.400,.341,.741,1,18,94,130,45,22,
Hendricks,Kyle,543294,2021,61,5,1,0,0,26,2,.135,.131,.266,0,0,3,22,2,0,
Hicks,Aaron,543305,2021,126,14,3,0,4,30,14,.333,.294,.627,0,2,16,20,11,10,
Higashioka,Kyle,543309,2021,211,15,10,0,10,59,17,.389,.246,.635,0,0,35,36,14,15,
Hosmer,Eric,543333,2021,565,97,28,0,12,99,48,.395,.336,.731,0,5,48,173,31,24,
McCann,James,543510,2021,412,64,12,1,10,115,32,.349,.294,.643,0,2,45,104,16,9,
Miller,Brad,543543,2021,377,43,9,3,20,112,45,.453,.321,.774,0,1,36,71,22,15,
Nola,Austin,543592,2021,194,33,12,0,2,19,14,.376,.340,.716,0,5,28,49,12,20,
Rendon,Anthony,543685,2021,249,33,13,0,6,41,29,.382,.329,.712,0,1,47,45,14,20,
Semien,Marcus,543760,2021,724,87,39,2,45,146,66,.538,.334,.873,0,3,129,118,43,46,
Shaw,Travis,543768,2021,250,24,11,0,9,68,24,.373,.284,.657,0,3,32,44,17,18,
SpringerIII,George,543807,2021,342,37,19,1,22,79,37,.555,.351,.906,1,4,38,58,20,25,
Vazquez,Christian,543877,2021,498,88,23,1,6,84,33,.352,.307,.659,0,2,84,122,27,27,
Wong,Kolten,543939,2021,492,73,32,2,14,83,31,.447,.335,.783,0,13,69,119,33,20,
Gregorius,Didi,544369,2021,408,46,16,2,13,67,25,.370,.270,.639,0,8,63,95,27,43,
Garcia,Leury,544725,2021,474,80,22,4,5,97,41,.376,.329,.705,0,4,46,136,30,8,
Vargas,Ildemaro,545121,2021,83,8,3,1,0,17,6,.221,.217,.438,0,0,8,30,6,4,
Grichuk,Randal,545341,2021,545,75,25,1,22,114,27,.423,.281,.703,0,3,90,120,24,44,
Marisnick,Jake,545350,2021,198,23,7,3,5,65,11,.375,.283,.658,0,7,17,34,13,12,
Stassi,Max,545358,2021,319,43,11,1,13,101,28,.426,.326,.752,0,8,30,65,10,9,
Trout,Mike,545361,2021,146,22,8,1,8,41,27,.624,.466,1.090,0,2,8,20,5,4,
Herrera,Odubel,546318,2021,492,75,27,2,13,77,29,.416,.309,.724,1,6,52,143,41,24,
Alford,Anthony,546990,2021,148,19,6,1,5,58,12,.406,.311,.717,0,3,20,17,6,1,
AlmoraJr.,Albert,546991,2021,54,3,3,0,0,17,2,.173,.148,.321,0,0,4,18,3,4,
Ruiz,Rio,547004,2021,141,14,4,0,3,38,12,.272,.241,.513,0,1,21,38,3,5,
Harper,Bryce,547180,2021,599,73,42,1,35,134,100,.615,.427,1.042,0,5,58,112,22,16,
Perez,Roberto,547379,2021,161,11,3,0,7,56,17,.319,.242,.561,0,1,15,39,9,3,
Abreu,Jose,547989,2021,659,86,30,2,30,143,61,.481,.351,.831,0,22,74,156,29,22,
Diaz,Elias,553869,2021,371,46,18,1,18,60,30,.464,.310,.774,0,2,49,94,26,26,
Narvaez,Omar,553882,2021,445,73,20,0,11,84,41,.402,.342,.743,0,7,73,81,30,22,
Astudillo,Willians,553902,2021,216,34,8,0,7,12,3,.375,.259,.634,0,4,35,68,19,26,
Suarez,Eugenio,553993,2021,574,46,23,0,31,171,56,.428,.286,.713,0,8,82,104,27,26,
Wheeler,Zack,554430,2021,73,9,2,0,0,39,0,.191,.151,.342,0,0,2,19,2,0,
Polanco,Gregory,570256,2021,382,45,12,2,11,104,36,.354,.283,.637,0,2,41,73,23,28,
Gonzalez,Erik,570481,2021,229,41,7,1,2,40,8,.300,.258,.558,0,0,18,87,20,5,
Urshela,Gio,570482,2021,442,78,18,2,14,109,20,.419,.301,.720,0,1,55,109,29,7,
Schoop,Jonathan,570731,2021,674,120,30,1,22,133,37,.435,.320,.755,0,6,65,174,37,47,
Arenado,Nolan,571448,2021,653,80,34,3,34,96,50,.494,.312,.807,0,3,123,127,46,55,
Barnhart,Tucker,571466,2021,388,58,21,0,7,100,29,.368,.317,.685,0,8,55,78,17,13,
Corbin,Patrick,571578,2021,63,7,0,0,0,24,3,.132,.159,.291,0,0,3,24,2,0,
Farmer,Kyle,571657,2021,529,87,22,2,16,97,22,.416,.316,.732,0,18,77,116,36,33,
Goodwin,Brian,571718,2021,271,33,10,1,8,58,33,.374,.317,.692,0,1,42,51,21,13,
